date,product,region,sales,units
2025-03-03,Headphones,South,988,1
2025-03-16,Headphones,North,4855,19
2025-04-29,Headphones,East,856,31
2025-04-02,Tablet,South,1513,16
2025-03-30,Headphones,North,3465,14
2025-04-13,Laptop,South,60,48
2025-03-03,Watch,South,1918,5
2025-04-07,Laptop,North,4917,41
2025-01-01,Laptop,East,934,26
2025-01-27,Headphones,East,3614,28
2025-03-03,Watch,West,1439,2
2025-04-26,Watch,North,3451,6
2025-03-18,Watch,West,4371,9
2025-04-15,Tablet,West,874,33
2025-01-03,Headphones,West,2315,41
2025-04-13,Watch,East,986,25
2025-03-11,Tablet,North,2850,48
2025-03-13,Phone,West,2603,13
2025-01-27,Phone,North,3895,9
2025-01-09,Tablet,North,1846,13
2025-03-03,Tablet,East,103,31
2025-02-06,Headphones,West,776,41
2025-04-07,Headphones,West,2786,11
2025-02-20,Phone,North,3220,4
2025-04-16,Watch,South,1963,34
2025-02-13,Phone,East,1646,38
2025-01-24,Watch,East,1964,46
2025-03-20,Watch,East,2516,4
2025-02-28,Headphones,East,2787,38
2025-04-28,Laptop,West,899,19
2025-02-01,Laptop,West,2159,6
2025-04-06,Tablet,South,52,34
2025-03-29,Headphones,East,4305,18
2025-04-15,Watch,East,4119,13
2025-02-21,Laptop,North,4926,41
2025-04-23,Watch,West,942,23
2025-03-03,Laptop,East,2080,19
2025-04-23,Laptop,South,3210,45
2025-02-27,Laptop,South,2426,11
2025-02-21,Headphones,West,4725,1
2025-01-12,Phone,South,1983,24
2025-02-08,Watch,South,1430,7
2025-01-02,Headphones,West,3731,25
2025-01-03,Headphones,East,1340,21
2025-04-23,Headphones,East,1690,15
2025-04-11,Headphones,South,2732,1
2025-04-23,Headphones,South,1037,12
2025-02-25,Tablet,East,1268,7
2025-03-22,Watch,West,1405,15
2025-02-28,Headphones,South,4315,21
2025-04-23,Watch,North,4666,19
2025-01-02,Tablet,West,4185,29
2025-01-02,Tablet,South,1610,25
2025-04-02,Watch,South,1468,33
2025-02-23,Laptop,North,1004,49
2025-03-28,Phone,North,1033,32
2025-04-11,Laptop,East,1024,49
2025-04-06,Laptop,West,4183,35
2025-04-07,Laptop,West,4022,44
2025-01-01,Headphones,East,963,38
2025-01-19,Tablet,West,4599,26
2025-01-02,Laptop,West,86,11
2025-02-22,Tablet,West,3437,35
2025-02-13,Watch,West,1761,8
2025-03-31,Phone,West,3070,46
2025-02-01,Watch,North,845,14
2025-03-11,Watch,West,4086,10
2025-02-01,Headphones,North,4738,2
2025-04-29,Phone,West,3161,46
2025-03-09,Watch,East,1374,9
2025-02-24,Watch,South,367,3
2025-03-16,Phone,North,2446,21
2025-02-25,Phone,West,2212,26
2025-01-17,Watch,East,2795,8
2025-02-07,Phone,South,1641,48
2025-01-24,Watch,North,3161,2
2025-03-10,Watch,South,3980,6
2025-04-26,Headphones,East,2046,28
2025-04-08,Laptop,North,1362,29
2025-03-11,Watch,South,1335,26
2025-03-27,Tablet,West,4361,25
2025-01-11,Laptop,North,2433,12
2025-04-22,Laptop,South,3289,5
2025-01-16,Laptop,East,2189,34
2025-04-07,Headphones,East,1754,48
2025-03-14,Watch,North,412,37
2025-02-28,Headphones,South,2654,15
2025-03-11,Watch,North,1766,44
2025-03-21,Headphones,North,4501,36
2025-04-03,Headphones,South,4336,15
2025-01-03,Tablet,South,3788,43
2025-01-20,Headphones,West,2519,48
2025-02-28,Phone,South,4845,23
2025-02-05,Tablet,East,606,6
2025-01-19,Headphones,North,875,46
2025-03-31,Laptop,North,2858,44
2025-03-08,Phone,East,4571,43
2025-01-19,Phone,South,2769,45
2025-01-20,Phone,East,3558,21
2025-04-06,Tablet,East,3791,23
2025-03-12,Headphones,West,1624,43
2025-02-21,Headphones,East,4048,16
2025-04-15,Laptop,North,2179,47
2025-02-02,Laptop,East,2453,15
2025-02-09,Phone,North,3379,25
2025-02-08,Laptop,North,638,36
2025-03-23,Tablet,North,2062,11
2025-04-14,Headphones,South,1597,15
2025-01-01,Phone,West,344,4
2025-01-11,Laptop,North,2035,21
2025-04-02,Tablet,North,3167,13
2025-02-26,Tablet,South,1740,22
2025-03-30,Laptop,North,1186,19
2025-02-19,Headphones,East,2114,34
2025-01-23,Laptop,East,4505,14
2025-01-31,Phone,West,4845,4
2025-04-04,Laptop,North,4593,48
2025-02-11,Tablet,South,4820,46
2025-04-09,Laptop,East,1057,27
2025-01-07,Headphones,South,2564,29
2025-01-16,Watch,South,3576,47
2025-03-31,Laptop,East,4731,28
2025-04-22,Headphones,South,1297,35
2025-04-26,Headphones,East,3952,8
2025-03-01,Tablet,South,1485,16
2025-04-23,Headphones,East,621,42
2025-01-02,Headphones,North,2432,36
2025-01-01,Headphones,West,1295,30
2025-02-17,Headphones,East,2134,18
2025-01-12,Phone,East,327,2
2025-03-10,Phone,West,1937,49
2025-02-06,Tablet,East,4629,13
2025-02-01,Laptop,East,1315,4
2025-04-29,Headphones,South,4876,26
2025-01-09,Laptop,West,1090,25
2025-04-15,Laptop,North,967,30
2025-04-09,Tablet,East,935,11
2025-01-19,Headphones,West,2802,7
2025-02-17,Headphones,South,71,31
2025-03-21,Watch,North,4619,44
2025-01-03,Laptop,West,3241,10
2025-01-20,Laptop,North,2403,39
2025-01-24,Phone,North,4849,13
2025-02-23,Watch,North,736,31
2025-04-30,Phone,East,334,7
2025-02-02,Phone,East,4861,49
2025-01-24,Phone,South,3797,42
2025-04-26,Tablet,South,812,42
2025-03-16,Tablet,West,2478,36
2025-04-23,Phone,South,2557,20
2025-03-13,Watch,North,78,4
2025-02-05,Laptop,North,956,7
2025-02-07,Watch,East,3154,1
2025-04-14,Headphones,North,4049,44
2025-03-25,Tablet,West,3044,45
2025-04-09,Laptop,North,2556,42
2025-04-22,Laptop,North,4715,47
2025-03-30,Headphones,West,3659,13
2025-04-09,Headphones,South,3603,22
2025-01-25,Phone,South,1503,21
2025-04-03,Tablet,West,4883,22
2025-01-18,Tablet,East,3406,28
2025-04-20,Watch,North,565,9
2025-03-23,Phone,West,88,26
2025-03-07,Phone,North,3392,9
2025-02-23,Phone,East,936,15
2025-02-04,Phone,North,2894,10
2025-03-21,Tablet,West,2254,24
2025-03-02,Tablet,North,1148,42
2025-02-10,Phone,South,1873,8
2025-04-10,Watch,East,3251,24
2025-02-02,Laptop,East,3205,16
2025-03-09,Laptop,East,3143,49
2025-02-02,Watch,West,3580,26
2025-01-14,Phone,East,3828,27
2025-01-21,Tablet,South,2946,37
2025-02-17,Laptop,West,3503,4
2025-01-20,Headphones,South,3561,24
2025-04-30,Headphones,North,1038,19
2025-01-08,Watch,North,4166,36
2025-01-07,Phone,North,4076,39
2025-03-08,Laptop,North,4229,10
2025-01-17,Phone,South,1732,25
2025-02-02,Laptop,West,4715,18
2025-02-17,Watch,West,4013,19
2025-03-17,Watch,East,983,36
2025-02-28,Headphones,South,3648,10
2025-04-25,Phone,North,3283,33
2025-03-27,Headphones,South,2030,5
2025-04-29,Phone,East,1905,47
2025-01-22,Headphones,East,3106,49
2025-04-20,Tablet,South,842,35
2025-01-30,Tablet,South,841,44
2025-02-07,Tablet,South,1859,34
2025-04-12,Tablet,West,2305,33
2025-04-19,Laptop,North,3660,21
2025-02-20,Tablet,South,1657,17
2025-02-23,Watch,South,1034,22
2025-01-08,Watch,South,3726,48
2025-01-27,Laptop,East,3430,37
2025-01-27,Tablet,East,569,15
2025-04-08,Tablet,West,640,35
2025-01-21,Tablet,North,1100,28
2025-01-30,Headphones,West,3683,7
2025-04-07,Phone,North,4494,32
2025-01-28,Headphones,East,1009,11
2025-04-21,Phone,East,742,10
2025-03-05,Tablet,East,3949,9
2025-04-07,Tablet,West,4523,14
2025-03-10,Headphones,South,2996,13
2025-03-02,Headphones,South,576,25
2025-02-17,Phone,East,3274,2
2025-01-19,Watch,South,2303,35
2025-01-04,Phone,South,3394,7
2025-02-04,Headphones,West,4015,21
2025-03-05,Headphones,North,1925,18
2025-02-18,Laptop,East,1813,3
2025-01-17,Headphones,East,570,42
2025-02-13,Laptop,West,1066,39
2025-04-02,Watch,West,166,41
2025-01-30,Phone,South,2483,49
2025-04-03,Phone,East,633,11
2025-02-15,Laptop,North,444,39
2025-04-27,Phone,West,3838,24
2025-01-06,Headphones,North,2818,46
2025-04-09,Tablet,North,4217,19
2025-04-15,Laptop,East,3910,4
2025-02-06,Phone,East,323,26
2025-01-24,Laptop,West,2063,38
2025-04-03,Laptop,East,4483,42
2025-04-23,Tablet,East,1439,32
2025-02-15,Headphones,East,3616,39
2025-02-22,Laptop,North,4752,45
2025-04-05,Phone,West,215,46
2025-04-09,Watch,South,1617,36
2025-03-01,Laptop,North,778,40
2025-04-07,Laptop,East,2093,37
2025-04-26,Tablet,North,4247,33
2025-03-04,Headphones,East,3546,36
2025-03-26,Watch,East,828,3
2025-02-01,Phone,North,263,9
2025-03-28,Watch,West,3812,8
2025-02-02,Phone,East,1626,33
2025-03-08,Headphones,West,2498,6
2025-01-18,Phone,South,2986,41
2025-01-25,Tablet,East,3167,39
2025-04-16,Tablet,West,641,4
2025-04-05,Tablet,West,2770,13
2025-02-23,Tablet,South,763,49
2025-02-27,Watch,West,985,2
2025-03-08,Headphones,West,4387,5
2025-04-14,Phone,South,51,44
2025-02-15,Phone,East,2898,27
2025-01-24,Tablet,West,4094,32
2025-04-24,Tablet,West,1999,21
2025-02-01,Laptop,West,967,8
2025-02-16,Headphones,North,3224,38
2025-03-27,Watch,South,2291,8
2025-01-23,Phone,North,139,3
2025-03-07,Laptop,South,1759,44
2025-01-27,Laptop,East,2219,3
2025-04-16,Phone,East,4288,22
2025-01-02,Watch,West,3091,6
2025-03-31,Laptop,South,155,2
2025-01-17,Laptop,East,936,23
2025-04-14,Headphones,South,477,44
2025-02-02,Watch,East,1945,2
2025-01-09,Laptop,North,366,38
2025-02-12,Watch,East,684,17
2025-04-28,Phone,North,1975,35
2025-02-17,Tablet,East,2106,34
2025-02-08,Laptop,West,3194,23
2025-04-03,Headphones,North,2320,30
2025-02-11,Phone,East,1489,8
2025-04-29,Watch,West,602,22
2025-01-26,Phone,North,765,44
2025-04-09,Laptop,West,3961,36
2025-02-19,Watch,South,1763,5
2025-01-25,Tablet,South,3439,13
2025-01-24,Phone,North,1157,29
