order_id,category,price,rating,quantity,returned
99,Sports,74.43,1.4,4,False
100,Clothing,144.62,2.4,7,False
101,Electronics,203.34,2.1,5,True
102,Clothing,216.7,4.4,5,False
103,Clothing,211.4,2.3,9,False
104,Clothing,454.73,4.2,9,False
105,Books,359.88,4.6,9,False
106,Sports,307.87,2.7,6,False
107,Home,161.59,4.6,6,False
108,Home,413.66,2.5,5,False
109,Books,477.98,4.9,9,False
110,Clothing,412.39,1.4,8,False
111,Books,10.77,3.7,7,True
112,Books,321.84,3.0,7,False
113,Electronics,35.06,2.6,6,False
114,Sports,136.23,3.5,5,False
115,Home,39.17,3.8,4,False
116,Clothing,305.86,1.0,3,False
117,Home,346.43,1.7,3,False
118,Home,66.1,3.9,6,False
119,Sports,198.08,3.7,4,False
120,Home,233.56,4.9,6,False
121,Home,190.84,4.0,3,False
122,Books,69.3,4.8,4,False
123,Sports,215.28,3.8,9,False
124,Electronics,378.08,2.2,5,False
125,Clothing,44.79,1.4,7,False
126,Home,49.29,4.1,2,False
127,Clothing,183.84,3.6,5,False
128,Electronics,471.45,1.2,9,False
129,Clothing,337.6,2.4,3,False
130,Electronics,342.55,4.8,9,False
131,Books,187.34,3.0,6,False
132,Home,300.89,2.7,4,False
133,Electronics,14.96,2.8,7,False
134,Clothing,321.69,1.8,8,False
135,Home,457.51,2.5,6,False
136,Books,310.16,2.5,5,False
137,Home,438.11,1.2,6,False
138,Electronics,364.75,4.1,5,False
139,Books,69.07,2.7,8,False
140,Clothing,452.2,4.3,1,False
141,Books,42.56,4.4,7,False
142,Books,271.64,1.8,2,False
143,Sports,79.65,3.6,9,False
144,Books,15.74,2.9,1,False
145,Books,216.8,4.5,6,False
146,Home,154.57,1.9,9,False
147,Clothing,248.14,3.7,1,False
148,Home,292.83,3.4,4,False
149,Home,31.43,2.2,4,False
150,Electronics,70.27,1.5,9,False
151,Home,283.73,3.6,5,False
152,Sports,178.15,4.0,5,False
153,Sports,367.3,2.3,6,False
154,Electronics,329.62,3.6,1,True
155,Clothing,424.35,2.6,1,False
156,Clothing,349.32,3.9,9,False
157,Home,220.67,1.8,3,False
158,Home,339.75,4.6,4,False
159,Home,144.94,2.1,1,True
160,Clothing,160.09,2.5,9,True
161,Books,396.6,1.2,8,False
162,Sports,228.75,1.4,2,False
163,Books,401.21,3.1,8,False
164,Books,412.99,2.1,7,False
165,Clothing,430.21,4.3,6,False
166,Books,459.15,1.1,1,False
167,Electronics,221.18,2.5,7,False
168,Home,166.24,2.3,7,False
169,Electronics,295.28,1.1,9,False
170,Sports,191.87,1.5,1,True
171,Home,304.53,2.7,2,False
172,Books,355.74,3.0,9,False
173,Sports,347.32,2.6,9,False
174,Home,193.53,3.1,6,False
175,Books,91.76,3.4,6,False
176,Electronics,220.96,1.0,4,False
177,Home,79.87,2.9,4,False
178,Books,446.15,4.9,5,False
179,Electronics,179.48,3.1,3,False
180,Sports,85.69,3.7,1,False
181,Sports,22.47,2.2,1,False
182,Sports,326.45,4.1,7,False
183,Sports,322.08,4.1,1,False
184,Clothing,176.9,3.1,1,False
185,Home,45.14,4.9,3,False
186,Home,210.72,1.5,4,False
187,Clothing,162.5,1.1,4,False
188,Books,341.79,4.1,2,False
189,Books,306.83,4.2,1,False
190,Sports,188.65,1.5,3,False
191,Electronics,116.77,2.1,4,False
192,Books,494.14,1.1,3,False
193,Electronics,232.46,2.2,8,False
194,Home,347.25,4.1,1,False
195,Electronics,78.87,3.1,2,False
196,Home,247.94,2.4,7,False
197,Clothing,23.49,2.5,4,False
198,Clothing,257.67,1.0,8,False
199,Sports,482.37,2.2,3,False
200,Books,198.26,3.6,6,True
201,Sports,29.11,4.9,9,False
202,Home,25.17,4.4,1,True
203,Sports,200.11,1.1,1,False
204,Electronics,88.41,4.6,8,False
205,Home,21.44,4.1,3,False
206,Clothing,380.54,4.1,5,False
207,Books,234.68,2.8,1,False
208,Home,151.73,2.6,5,True
209,Home,451.04,2.2,6,False
210,Electronics,66.91,1.3,8,False
211,Books,478.4,1.9,3,False
212,Clothing,163.84,2.0,3,False
213,Home,445.32,2.9,9,False
214,Home,305.44,4.0,4,False
215,Electronics,415.09,2.9,4,False
216,Sports,492.17,1.2,7,False
217,Clothing,151.32,4.8,2,False
218,Books,480.96,4.8,8,False
219,Home,200.85,4.1,6,False
220,Home,198.9,5.0,3,False
221,Clothing,176.79,3.2,9,False
222,Sports,275.29,4.9,5,True
223,Home,85.53,1.3,8,False
224,Clothing,281.32,2.5,7,False
225,Electronics,275.44,1.9,8,False
226,Sports,383.33,1.8,7,False
227,Books,418.49,1.6,3,True
228,Home,225.82,3.5,2,False
229,Clothing,158.14,4.1,7,False
230,Electronics,137.07,3.3,3,False
231,Books,105.37,1.6,3,False
232,Clothing,38.25,4.2,2,True
233,Clothing,177.8,3.5,4,False
234,Books,142.42,2.6,8,True
235,Electronics,483.54,3.7,1,False
236,Electronics,283.28,2.0,1,False
237,Sports,180.17,2.4,5,False
238,Home,294.43,4.7,5,False
239,Books,78.21,2.2,1,False
240,Books,227.58,2.9,6,False
241,Books,316.85,4.6,1,False
242,Electronics,249.56,3.8,5,False
243,Home,206.87,1.2,9,False
244,Sports,496.99,1.6,5,True
245,Clothing,441.35,1.0,6,False
246,Clothing,315.47,3.5,8,False
247,Books,288.99,2.8,1,False
248,Home,314.12,1.5,2,False
249,Electronics,108.64,4.8,9,False
250,Home,203.62,3.1,3,True
251,Home,29.34,2.0,6,False
252,Electronics,243.02,3.0,5,False
253,Books,276.08,3.7,2,False
254,Home,121.6,1.3,7,True
255,Clothing,482.37,2.1,4,False
256,Electronics,455.63,4.2,1,False
257,Sports,363.85,2.8,4,False
258,Books,271.36,3.2,6,True
259,Electronics,436.28,2.7,7,False
260,Sports,74.02,1.2,7,False
261,Sports,397.35,1.7,7,False
262,Home,71.16,2.8,3,False
263,Home,399.16,1.8,6,False
264,Home,145.13,1.2,8,False
265,Electronics,439.77,4.4,4,False
266,Electronics,472.58,4.9,8,False
267,Books,82.91,4.2,2,False
268,Home,236.71,4.4,9,False
269,Sports,490.68,2.0,9,False
270,Clothing,246.87,4.8,8,False
271,Books,433.14,1.8,1,False
272,Electronics,298.48,4.8,2,False
273,Books,193.91,5.0,6,False
274,Books,150.03,3.8,5,False
275,Books,109.58,4.9,9,False
276,Books,383.28,3.3,5,False
277,Clothing,199.4,2.0,2,False
278,Home,260.52,2.7,4,False
279,Sports,251.24,3.4,9,False
280,Books,292.87,1.3,1,False
281,Books,434.13,3.5,1,False
282,Books,490.56,4.9,7,False
283,Home,209.72,1.8,3,False
284,Electronics,415.48,4.2,2,False
285,Electronics,384.62,4.6,9,False
286,Clothing,291.03,4.8,3,False
287,Electronics,478.46,4.8,2,False
288,Books,108.23,3.1,8,False
289,Books,63.54,4.9,6,False
290,Books,428.44,4.0,6,False
291,Clothing,225.18,1.6,7,False
292,Books,425.01,2.9,7,True
293,Electronics,447.61,3.9,6,False
294,Home,40.6,2.0,4,False
295,Home,442.9,3.6,9,False
296,Sports,229.68,3.7,6,False
297,Electronics,260.11,1.7,4,False
298,Books,317.03,3.3,3,False
299,Home,463.93,4.1,4,False
300,Electronics,19.37,3.0,3,False
